fen,result
r1b1kb1r/p2n1ppp/1pn1p3/q2pP3/N1pP1P2/P1P1BN2/1P4PP/R2QKB1R w KQkq - 0 11,0.0
r2q1rk1/ppp1p1bp/2n3p1/3p4/3P2b1/2P3P1/PP2NPBP/R1BQK2R w KQ - 1 11,0.5
r1bq1rk1/p2nbppp/2p1pn2/1p6/2pP4/2N2NP1/PPQBPPBP/R2R2K1 w - - 0 11,0.5
r2qk2r/1pp1nppp/2n5/p3bb2/2P5/P1N2N2/1P2BPPP/R1BQ1RK1 w kq - 0 11,1.0
r2qk2r/pp1nnppp/2p1pb2/3p4/NP2P3/2P2Q1P/P2PBPP1/R1B2RK1 w kq - 1 11,0.5
r1bqr1k1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N2N2/PPQ1BPPP/R1B1R1K1 w - - 0 11,0.5
r2qk2r/1bpn1pp1/pp1p1n1p/4p3/4P3/P1PBBP2/1PPN2PP/R2QK2R w KQkq - 0 11,0.5
1r1qk2r/pp2n1bp/2npbpp1/2p1p3/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 w k - 2 11,1.0
2kr1b1r/1pp2ppp/p1n5/3p3q/6b1/1P1PPN2/PBP2PPP/RN1Q1K1R w - - 1 11,1.0
r1bq1rk1/ppp3pp/1nn2b2/4pp2/8/1PN2NP1/PB1PPPBP/2RQ1RK1 w - - 2 11,0.0
r1bq1rk1/pp2ppbp/6p1/2pPn3/4P3/2P2N2/P3BPPP/1RBQK2R w K - 1 11,1.0
rn1q1rk1/pp2bppp/2p2n2/3P4/2B3b1/2N2N2/PP1PQPPP/R1B2RK1 w - - 0 11,0.5
rnbqk2r/4bppp/p2p4/3np3/Pp2P3/1N4P1/1PP2PBP/R1BQK2R w KQkq - 0 11,1.0
r1bqk2r/3pnpbp/p3p1p1/1p6/2BpPP2/3P4/PPP1N1PP/R1BQ1RK1 w kq - 0 11,0.5
r1bq1rk1/1p3ppp/2n2n2/p1bp4/8/P1N2NP1/1P2PPBP/R1BQ1RK1 w - - 0 11,1.0
r1bq1rk1/p3ppbp/1pn2np1/8/2BP4/2N1BN2/PP3PPP/R2Q1RK1 w - - 0 11,0.0
